Symptom_Text,Water_Color,Water_Odor,Disease
"red eyes, jaundice, vomiting, abdominal pain",Yellowish,None,Leptospirosis
"high fever, muscle aches, chills",Yellowish,None,Leptospirosis
"abdominal pain, jaundice, high fever, red eyes",Brown,Earthy,Leptospirosis
"muscle aches, high fever",Muddy,Earthy,Leptospirosis
"vomiting, chills, jaundice",Brown,None,Leptospirosis
"vomiting, headache",Yellowish,None,Leptospirosis
"red eyes, vomiting, chills",Brown,Earthy,Leptospirosis
"vomiting, jaundice, red eyes",Brown,None,Leptospirosis
"red eyes, vomiting, abdominal pain, headache",Brown,Stagnant,Leptospirosis
"vomiting, abdominal pain, chills",Muddy,Stagnant,Leptospirosis
"muscle aches, headache, vomiting",Yellowish,Earthy,Leptospirosis
"red eyes, muscle aches, headache",Muddy,Stagnant,Leptospirosis
"headache, high fever",Brown,None,Leptospirosis
"muscle aches, high fever, jaundice",Brown,Stagnant,Leptospirosis
"vomiting, muscle aches",Yellowish,None,Leptospirosis
"red eyes, jaundice, muscle aches",Yellowish,Stagnant,Leptospirosis
"red eyes, abdominal pain",Yellowish,Stagnant,Leptospirosis
"high fever, abdominal pain, headache",Yellowish,None,Leptospirosis
"jaundice, vomiting",Muddy,Earthy,Leptospirosis
"red eyes, jaundice",Brown,Stagnant,Leptospirosis
"muscle aches, headache, chills, high fever",Yellowish,Stagnant,Leptospirosis
"jaundice, high fever",Muddy,Stagnant,Leptospirosis
"high fever, jaundice",Yellowish,None,Leptospirosis
"chills, headache, vomiting",Yellowish,None,Leptospirosis
"abdominal pain, jaundice",Yellowish,Earthy,Leptospirosis
"high fever, muscle aches",Brown,Earthy,Leptospirosis
"headache, vomiting, chills, red eyes",Muddy,Stagnant,Leptospirosis
"jaundice, chills, muscle aches, headache",Muddy,Stagnant,Leptospirosis
"abdominal pain, vomiting, chills",Brown,None,Leptospirosis
"abdominal pain, vomiting",Brown,Earthy,Leptospirosis
"jaundice, abdominal pain, chills",Yellowish,Earthy,Leptospirosis
"jaundice, headache",Yellowish,Stagnant,Leptospirosis
"abdominal pain, vomiting",Muddy,None,Leptospirosis
"muscle aches, jaundice",Brown,Stagnant,Leptospirosis
"abdominal pain, chills",Muddy,None,Leptospirosis
"high fever, jaundice",Yellowish,Stagnant,Leptospirosis
"jaundice, vomiting, red eyes",Brown,None,Leptospirosis
"jaundice, chills, headache",Yellowish,Stagnant,Leptospirosis
"abdominal pain, muscle aches, high fever",Brown,Earthy,Leptospirosis
"red eyes, chills, muscle aches",Brown,Stagnant,Leptospirosis
"red eyes, jaundice, vomiting",Brown,Earthy,Leptospirosis
"headache, muscle aches, chills",Muddy,Stagnant,Leptospirosis
"abdominal pain, red eyes, jaundice",Brown,Earthy,Leptospirosis
"red eyes, muscle aches, jaundice",Yellowish,Stagnant,Leptospirosis
"vomiting, red eyes",Muddy,Earthy,Leptospirosis
"high fever, headache, red eyes, jaundice",Yellowish,None,Leptospirosis
"headache, red eyes",Muddy,Stagnant,Leptospirosis
"muscle aches, red eyes, headache",Yellowish,Earthy,Leptospirosis
"chills, jaundice",Yellowish,None,Leptospirosis
"high fever, jaundice, chills",Muddy,Earthy,Leptospirosis
"vomiting, headache, red eyes, muscle aches",Muddy,Earthy,Leptospirosis
"muscle aches, jaundice, vomiting, chills",Yellowish,Earthy,Leptospirosis
"abdominal pain, vomiting, headache, muscle aches",Brown,Earthy,Leptospirosis
"headache, high fever, abdominal pain, muscle aches",Muddy,Stagnant,Leptospirosis
"abdominal pain, headache",Muddy,Earthy,Leptospirosis
"vomiting, chills",Yellowish,None,Leptospirosis
"vomiting, abdominal pain",Yellowish,None,Leptospirosis
"chills, high fever",Yellowish,None,Leptospirosis
"vomiting, high fever, jaundice",Brown,Stagnant,Leptospirosis
"high fever, vomiting, red eyes",Brown,None,Leptospirosis
"abdominal pain, headache, muscle aches, chills",Yellowish,None,Leptospirosis
"high fever, jaundice, headache, vomiting",Brown,Stagnant,Leptospirosis
"chills, high fever, abdominal pain, muscle aches",Muddy,None,Leptospirosis
"red eyes, muscle aches",Muddy,Earthy,Leptospirosis
"headache, jaundice",Brown,Stagnant,Leptospirosis
"chills, headache",Brown,None,Leptospirosis
"muscle aches, headache, jaundice, high fever",Muddy,None,Leptospirosis
"red eyes, abdominal pain, muscle aches",Muddy,Earthy,Leptospirosis
"red eyes, jaundice, high fever",Brown,Earthy,Leptospirosis
"vomiting, red eyes",Brown,None,Leptospirosis
"red eyes, chills",Yellowish,Earthy,Leptospirosis
"jaundice, vomiting, muscle aches",Brown,Stagnant,Leptospirosis
"jaundice, vomiting",Muddy,Stagnant,Leptospirosis
"abdominal pain, jaundice, chills, vomiting",Muddy,Stagnant,Leptospirosis
"high fever, jaundice, chills, red eyes",Brown,Earthy,Leptospirosis
"abdominal pain, headache, vomiting",Brown,None,Leptospirosis
"muscle aches, abdominal pain, headache",Brown,Stagnant,Leptospirosis
"vomiting, high fever, abdominal pain, headache",Muddy,None,Leptospirosis
"headache, red eyes, abdominal pain",Yellowish,None,Leptospirosis
"abdominal pain, chills, muscle aches",Muddy,None,Leptospirosis
"abdominal pain, jaundice, red eyes",Brown,Stagnant,Leptospirosis
"high fever, abdominal pain, chills, red eyes",Brown,Earthy,Leptospirosis
"high fever, red eyes",Brown,Earthy,Leptospirosis
"vomiting, chills",Yellowish,Earthy,Leptospirosis
"high fever, red eyes, vomiting",Muddy,Earthy,Leptospirosis
"high fever, vomiting",Yellowish,Stagnant,Leptospirosis
"high fever, red eyes",Brown,Stagnant,Leptospirosis
"high fever, vomiting, red eyes",Brown,Earthy,Leptospirosis
"headache, vomiting, jaundice, chills",Muddy,None,Leptospirosis
"chills, vomiting, high fever",Brown,Earthy,Leptospirosis
"muscle aches, headache",Brown,None,Leptospirosis
"abdominal pain, jaundice",Muddy,None,Leptospirosis
"headache, high fever, red eyes",Yellowish,Earthy,Leptospirosis
"headache, vomiting, high fever",Muddy,None,Leptospirosis
"muscle aches, abdominal pain, high fever",Brown,None,Leptospirosis
"jaundice, abdominal pain, red eyes",Muddy,None,Leptospirosis
"red eyes, headache, vomiting, chills",Yellowish,Stagnant,Leptospirosis
"high fever, vomiting, chills, abdominal pain",Yellowish,Earthy,Leptospirosis
"high fever, chills",Muddy,Earthy,Leptospirosis
"muscle aches, headache",Brown,Stagnant,Leptospirosis
"vomiting, high fever, headache, chills",Yellowish,Earthy,Leptospirosis
"red eyes, chills, muscle aches",Brown,None,Leptospirosis
"vomiting, red eyes",Yellowish,Stagnant,Leptospirosis
"red eyes, high fever, abdominal pain, muscle aches",Muddy,None,Leptospirosis
"headache, high fever, vomiting",Muddy,Stagnant,Leptospirosis
"high fever, chills, headache, vomiting",Muddy,None,Leptospirosis
"headache, vomiting, red eyes",Brown,None,Leptospirosis
"jaundice, high fever, vomiting",Yellowish,Earthy,Leptospirosis
"high fever, chills, muscle aches",Muddy,Stagnant,Leptospirosis
"high fever, muscle aches, red eyes",Muddy,None,Leptospirosis
"abdominal pain, muscle aches, chills",Brown,Earthy,Leptospirosis
"red eyes, muscle aches, abdominal pain",Muddy,None,Leptospirosis
"red eyes, muscle aches",Yellowish,Stagnant,Leptospirosis
"jaundice, vomiting, headache",Yellowish,Earthy,Leptospirosis
"headache, jaundice",Brown,Earthy,Leptospirosis
"headache, abdominal pain, chills",Muddy,None,Leptospirosis
"vomiting, abdominal pain, red eyes",Muddy,Stagnant,Leptospirosis
"red eyes, chills, vomiting",Muddy,None,Leptospirosis
"vomiting, chills, jaundice",Brown,None,Leptospirosis
"chills, muscle aches, headache, vomiting",Muddy,None,Leptospirosis
"muscle aches, vomiting",Brown,Earthy,Leptospirosis
"headache, high fever, muscle aches, chills",Brown,None,Leptospirosis
"muscle aches, abdominal pain, jaundice, headache",Muddy,Stagnant,Leptospirosis
"chills, headache",Muddy,None,Leptospirosis
"chills, vomiting",Muddy,Stagnant,Leptospirosis
"muscle aches, chills, jaundice",Muddy,None,Leptospirosis
"headache, muscle aches",Muddy,None,Leptospirosis
"high fever, muscle aches, red eyes",Muddy,None,Leptospirosis
"vomiting, headache",Muddy,Stagnant,Leptospirosis
"headache, red eyes",Muddy,Stagnant,Leptospirosis
"high fever, red eyes, abdominal pain, muscle aches",Muddy,None,Leptospirosis
"abdominal pain, vomiting",Brown,Earthy,Leptospirosis
"muscle aches, headache, chills, abdominal pain",Brown,None,Leptospirosis
"muscle aches, vomiting, headache",Yellowish,Stagnant,Leptospirosis
"chills, abdominal pain, high fever, headache",Yellowish,Stagnant,Leptospirosis
"high fever, red eyes",Brown,Stagnant,Leptospirosis
"headache, muscle aches",Yellowish,None,Leptospirosis
"muscle aches, vomiting, high fever, chills",Muddy,None,Leptospirosis
"chills, muscle aches, jaundice",Yellowish,None,Leptospirosis
"muscle aches, chills, red eyes, headache",Muddy,Stagnant,Leptospirosis
"abdominal pain, vomiting, red eyes, high fever",Yellowish,Stagnant,Leptospirosis
"abdominal pain, vomiting, jaundice",Brown,Stagnant,Leptospirosis
"vomiting, muscle aches, red eyes, jaundice",Yellowish,Earthy,Leptospirosis
"chills, vomiting, headache, abdominal pain",Muddy,Earthy,Leptospirosis
"red eyes, vomiting",Yellowish,None,Leptospirosis
"high fever, muscle aches, jaundice, vomiting",Brown,Stagnant,Leptospirosis
"red eyes, chills, high fever",Muddy,Earthy,Leptospirosis
"jaundice, vomiting, muscle aches, chills",Yellowish,None,Leptospirosis
"muscle aches, jaundice",Muddy,Stagnant,Leptospirosis
"headache, jaundice, high fever, muscle aches",Muddy,Earthy,Leptospirosis
"headache, muscle aches, vomiting",Brown,None,Leptospirosis
"red eyes, abdominal pain, headache",Muddy,Stagnant,Leptospirosis
"red eyes, headache, chills",Muddy,Earthy,Leptospirosis
"vomiting, abdominal pain, chills",Muddy,Stagnant,Leptospirosis
"chills, headache, jaundice",Yellowish,None,Leptospirosis
"abdominal pain, jaundice, muscle aches, vomiting",Brown,Stagnant,Leptospirosis
"muscle aches, red eyes",Brown,Stagnant,Leptospirosis
"chills, muscle aches",Muddy,None,Leptospirosis
"chills, headache, muscle aches",Brown,Stagnant,Leptospirosis
"vomiting, red eyes, muscle aches",Brown,Stagnant,Leptospirosis
"muscle aches, red eyes, headache",Brown,None,Leptospirosis
"chills, jaundice, abdominal pain, muscle aches",Muddy,Stagnant,Leptospirosis
"headache, red eyes, abdominal pain, jaundice",Muddy,Earthy,Leptospirosis
"vomiting, jaundice, high fever",Brown,Stagnant,Leptospirosis
"vomiting, high fever, abdominal pain, jaundice",Muddy,Earthy,Leptospirosis
"vomiting, chills, jaundice, high fever",Brown,Earthy,Leptospirosis
"red eyes, vomiting, headache",Yellowish,None,Leptospirosis
"headache, high fever, jaundice",Brown,None,Leptospirosis
"high fever, jaundice, vomiting",Brown,Earthy,Leptospirosis
"vomiting, headache, high fever, chills",Brown,None,Leptospirosis
"headache, chills, high fever",Muddy,Earthy,Leptospirosis
"headache, high fever",Brown,None,Leptospirosis
"muscle aches, headache",Yellowish,Stagnant,Leptospirosis
"vomiting, red eyes, muscle aches",Yellowish,Stagnant,Leptospirosis
"headache, abdominal pain, jaundice, muscle aches",Yellowish,Earthy,Leptospirosis
"muscle aches, abdominal pain, chills",Muddy,Earthy,Leptospirosis
"jaundice, abdominal pain",Muddy,None,Leptospirosis
"red eyes, jaundice",Muddy,Stagnant,Leptospirosis
"muscle aches, high fever, chills",Muddy,None,Leptospirosis
"vomiting, red eyes, headache, high fever",Brown,Earthy,Leptospirosis
"high fever, jaundice",Yellowish,Stagnant,Leptospirosis
"chills, headache, muscle aches, red eyes",Muddy,Stagnant,Leptospirosis
"headache, jaundice, red eyes, vomiting",Brown,Stagnant,Leptospirosis
"abdominal pain, headache, high fever, chills",Brown,Earthy,Leptospirosis
"muscle aches, chills",Brown,Earthy,Leptospirosis
"muscle aches, vomiting, jaundice",Yellowish,Stagnant,Leptospirosis
"chills, high fever, muscle aches",Muddy,None,Leptospirosis
"vomiting, chills",Brown,Stagnant,Leptospirosis
"high fever, muscle aches",Muddy,Earthy,Leptospirosis
"high fever, jaundice, red eyes, vomiting",Yellowish,None,Leptospirosis
"abdominal pain, jaundice",Brown,None,Leptospirosis
"abdominal pain, jaundice, high fever",Yellowish,None,Leptospirosis
"high fever, abdominal pain, muscle aches",Brown,None,Leptospirosis
"chills, muscle aches, red eyes",Brown,Stagnant,Leptospirosis
"vomiting, headache",Brown,Stagnant,Leptospirosis
"red eyes, vomiting",Muddy,None,Leptospirosis
"headache, abdominal pain, high fever, chills",Yellowish,Stagnant,Leptospirosis
"muscle aches, headache",Yellowish,Stagnant,Leptospirosis
"jaundice, muscle aches",Muddy,None,Leptospirosis
"red eyes, headache",Brown,Stagnant,Leptospirosis
"headache, chills, muscle aches",Yellowish,None,Leptospirosis
"vomiting, chills",Brown,Stagnant,Leptospirosis
"vomiting, high fever, jaundice",Yellowish,None,Leptospirosis
"jaundice, abdominal pain",Brown,Stagnant,Leptospirosis
"jaundice, high fever, muscle aches",Muddy,Stagnant,Leptospirosis
"high fever, chills, muscle aches",Yellowish,Stagnant,Leptospirosis
"muscle aches, abdominal pain",Brown,None,Leptospirosis
"muscle aches, vomiting, high fever",Brown,None,Leptospirosis
"abdominal pain, jaundice",Yellowish,None,Leptospirosis
"muscle aches, abdominal pain",Brown,Earthy,Leptospirosis
"headache, red eyes, muscle aches",Brown,None,Leptospirosis
"headache, chills",Yellowish,None,Leptospirosis
"red eyes, headache",Muddy,Stagnant,Leptospirosis
"vomiting, chills",Yellowish,Stagnant,Leptospirosis
"red eyes, headache, abdominal pain",Muddy,Earthy,Leptospirosis
"headache, red eyes, chills",Muddy,Earthy,Leptospirosis
"vomiting, chills",Brown,Stagnant,Leptospirosis
"abdominal pain, high fever, jaundice",Brown,Earthy,Leptospirosis
"chills, muscle aches, abdominal pain, headache",Muddy,Earthy,Leptospirosis
"jaundice, high fever",Yellowish,Earthy,Leptospirosis
"jaundice, muscle aches, vomiting",Muddy,None,Leptospirosis
"abdominal pain, high fever",Brown,None,Leptospirosis
"red eyes, high fever, headache, abdominal pain",Brown,None,Leptospirosis
"high fever, chills, abdominal pain",Muddy,None,Leptospirosis
"high fever, muscle aches, headache, chills",Muddy,Earthy,Leptospirosis
"high fever, abdominal pain",Brown,None,Leptospirosis
"jaundice, muscle aches, abdominal pain",Brown,None,Leptospirosis
"jaundice, vomiting, abdominal pain",Muddy,Stagnant,Leptospirosis
"high fever, vomiting, chills",Yellowish,Earthy,Leptospirosis
"headache, chills, abdominal pain",Yellowish,Stagnant,Leptospirosis
"muscle aches, chills, red eyes",Yellowish,None,Leptospirosis
"jaundice, vomiting, abdominal pain, high fever",Yellowish,None,Leptospirosis
"chills, headache, high fever, vomiting",Yellowish,Earthy,Leptospirosis
"abdominal pain, vomiting, chills, high fever",Yellowish,None,Leptospirosis
"vomiting, jaundice, abdominal pain",Yellowish,None,Leptospirosis
"jaundice, muscle aches, chills",Yellowish,Earthy,Leptospirosis
"muscle aches, vomiting, high fever, jaundice",Muddy,None,Leptospirosis
"high fever, jaundice",Yellowish,Stagnant,Leptospirosis
"vomiting, abdominal pain",Muddy,None,Leptospirosis
"headache, jaundice, abdominal pain, high fever",Brown,Earthy,Leptospirosis
"vomiting, high fever, jaundice",Yellowish,None,Leptospirosis
"muscle aches, vomiting, headache",Brown,Stagnant,Leptospirosis
"headache, vomiting, jaundice, chills",Brown,None,Leptospirosis
"headache, red eyes, abdominal pain, muscle aches",Muddy,Stagnant,Leptospirosis
"muscle aches, chills",Muddy,Stagnant,Leptospirosis
"muscle aches, abdominal pain",Muddy,Earthy,Leptospirosis
"high fever, abdominal pain",Yellowish,Stagnant,Leptospirosis
"abdominal pain, jaundice, headache, high fever",Yellowish,None,Leptospirosis
"jaundice, chills, red eyes",Brown,Stagnant,Leptospirosis
"red eyes, jaundice",Muddy,None,Leptospirosis
"jaundice, abdominal pain, headache",Yellowish,Stagnant,Leptospirosis
"headache, red eyes, vomiting, high fever",Muddy,None,Leptospirosis
"high fever, jaundice, chills",Muddy,Stagnant,Leptospirosis
"high fever, vomiting, jaundice, red eyes",Brown,None,Leptospirosis
"chills, red eyes",Brown,None,Leptospirosis
"chills, abdominal pain",Brown,Earthy,Leptospirosis
"jaundice, red eyes, chills",Yellowish,Stagnant,Leptospirosis
"muscle aches, red eyes, high fever, vomiting",Yellowish,Earthy,Leptospirosis
"chills, vomiting, abdominal pain, jaundice",Brown,None,Leptospirosis
"chills, headache, jaundice",Muddy,Earthy,Leptospirosis
"headache, red eyes, abdominal pain, muscle aches",Muddy,None,Leptospirosis
"red eyes, chills",Muddy,Stagnant,Leptospirosis
"red eyes, chills",Yellowish,Stagnant,Leptospirosis
"feeling need to pass stool, diarrhea (bloody)",Cloudy,None,Shigellosis
"fever, feeling need to pass stool, diarrhea (bloody)",Brown,None,Shigellosis
"fever, stomach pain, feeling need to pass stool",Brown,None,Shigellosis
"feeling need to pass stool, diarrhea (bloody), fever, stomach pain",Cloudy,None,Shigellosis
"stomach pain, feeling need to pass stool",Cloudy,None,Shigellosis
"fever, diarrhea (bloody), stomach pain",Cloudy,None,Shigellosis
"stomach pain, feeling need to pass stool",Cloudy,None,Shigellosis
"diarrhea (bloody), stomach pain, feeling need to pass stool, fever",Brown,Foul,Shigellosis
"stomach pain, feeling need to pass stool, diarrhea (bloody)",Brown,Foul,Shigellosis
"fever, feeling need to pass stool",Cloudy,None,Shigellosis
"fever, feeling need to pass stool, diarrhea (bloody), stomach pain",Brown,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool",Brown,Foul,Shigellosis
"stomach pain, fever, feeling need to pass stool, diarrhea (bloody)",Brown,None,Shigellosis
"feeling need to pass stool, fever, diarrhea (bloody), stomach pain",Cloudy,Foul,Shigellosis
"stomach pain, diarrhea (bloody)",Cloudy,Foul,Shigellosis
"fever, feeling need to pass stool, stomach pain",Brown,None,Shigellosis
"diarrhea (bloody), stomach pain, fever, feeling need to pass stool",Brown,None,Shigellosis
"diarrhea (bloody), stomach pain",Brown,None,Shigellosis
"diarrhea (bloody), fever, stomach pain, feeling need to pass stool",Brown,Foul,Shigellosis
"fever, feeling need to pass stool, stomach pain",Brown,None,Shigellosis
"stomach pain, feeling need to pass stool",Cloudy,Foul,Shigellosis
"stomach pain, fever",Brown,Foul,Shigellosis
"feeling need to pass stool, diarrhea (bloody)",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, diarrhea (bloody)",Brown,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool",Cloudy,None,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool",Brown,None,Shigellosis
"feeling need to pass stool, fever, stomach pain",Brown,Foul,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool, stomach pain",Cloudy,Fecal,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever",Brown,Fecal,Shigellosis
"stomach pain, fever",Brown,Fecal,Shigellosis
"fever, diarrhea (bloody)",Brown,Fecal,Shigellosis
"diarrhea (bloody), fever",Brown,Foul,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool, stomach pain",Cloudy,None,Shigellosis
"fever, feeling need to pass stool",Cloudy,Foul,Shigellosis
"diarrhea (bloody), stomach pain, fever",Cloudy,Foul,Shigellosis
"stomach pain, diarrhea (bloody), fever, feeling need to pass stool",Brown,Fecal,Shigellosis
"stomach pain, diarrhea (bloody), feeling need to pass stool",Brown,Foul,Shigellosis
"feeling need to pass stool, fever, diarrhea (bloody), stomach pain",Brown,Foul,Shigellosis
"feeling need to pass stool, diarrhea (bloody), fever",Cloudy,Foul,Shigellosis
"fever, diarrhea (bloody), feeling need to pass stool, stomach pain",Cloudy,None,Shigellosis
"fever, stomach pain, feeling need to pass stool",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, fever",Brown,Foul,Shigellosis
"fever, stomach pain, feeling need to pass stool, diarrhea (bloody)",Cloudy,Fecal,Shigellosis
"stomach pain, diarrhea (bloody), feeling need to pass stool, fever",Brown,None,Shigellosis
"fever, stomach pain, diarrhea (bloody), feeling need to pass stool",Brown,None,Shigellosis
"fever, diarrhea (bloody)",Cloudy,None,Shigellosis
"diarrhea (bloody), stomach pain, fever",Cloudy,Fecal,Shigellosis
"diarrhea (bloody), stomach pain, feeling need to pass stool",Brown,Fecal,Shigellosis
"stomach pain, diarrhea (bloody), fever",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, stomach pain, diarrhea (bloody)",Cloudy,None,Shigellosis
"diarrhea (bloody), stomach pain, fever",Brown,Fecal,Shigellosis
"fever, feeling need to pass stool, diarrhea (bloody), stomach pain",Brown,Foul,Shigellosis
"stomach pain, diarrhea (bloody), feeling need to pass stool",Brown,Foul,Shigellosis
"stomach pain, feeling need to pass stool, diarrhea (bloody)",Cloudy,None,Shigellosis
"diarrhea (bloody), stomach pain",Brown,Foul,Shigellosis
"diarrhea (bloody), stomach pain, feeling need to pass stool",Cloudy,Foul,Shigellosis
"stomach pain, fever",Cloudy,Fecal,Shigellosis
"stomach pain, feeling need to pass stool, diarrhea (bloody)",Brown,Foul,Shigellosis
"feeling need to pass stool, fever",Cloudy,None,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever, stomach pain",Brown,Fecal,Shigellosis
"stomach pain, feeling need to pass stool",Cloudy,None,Shigellosis
"fever, stomach pain, feeling need to pass stool",Brown,Foul,Shigellosis
"fever, diarrhea (bloody), stomach pain, feeling need to pass stool",Cloudy,Fecal,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever, stomach pain",Cloudy,None,Shigellosis
"feeling need to pass stool, stomach pain, fever, diarrhea (bloody)",Brown,None,Shigellosis
"fever, stomach pain",Brown,Foul,Shigellosis
"stomach pain, diarrhea (bloody), fever",Cloudy,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool, stomach pain, fever",Brown,None,Shigellosis
"fever, stomach pain, diarrhea (bloody)",Brown,Fecal,Shigellosis
"fever, feeling need to pass stool, diarrhea (bloody), stomach pain",Cloudy,None,Shigellosis
"diarrhea (bloody), stomach pain, feeling need to pass stool, fever",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, stomach pain",Brown,Fecal,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool, stomach pain",Cloudy,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever, stomach pain",Cloudy,None,Shigellosis
"feeling need to pass stool, fever, diarrhea (bloody), stomach pain",Cloudy,Foul,Shigellosis
"fever, diarrhea (bloody), feeling need to pass stool",Brown,Foul,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool, stomach pain",Brown,None,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool, stomach pain",Cloudy,Foul,Shigellosis
"stomach pain, feeling need to pass stool",Cloudy,None,Shigellosis
"fever, diarrhea (bloody), feeling need to pass stool",Brown,Fecal,Shigellosis
"stomach pain, fever, diarrhea (bloody), feeling need to pass stool",Brown,Fecal,Shigellosis
"stomach pain, fever",Cloudy,None,Shigellosis
"stomach pain, fever",Cloudy,None,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever, stomach pain",Cloudy,None,Shigellosis
"feeling need to pass stool, fever",Cloudy,Foul,Shigellosis
"stomach pain, feeling need to pass stool, diarrhea (bloody), fever",Cloudy,Fecal,Shigellosis
"diarrhea (bloody), fever, stomach pain",Brown,Fecal,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever, stomach pain",Cloudy,Foul,Shigellosis
"fever, stomach pain, diarrhea (bloody)",Brown,Foul,Shigellosis
"fever, feeling need to pass stool, stomach pain, diarrhea (bloody)",Cloudy,Foul,Shigellosis
"stomach pain, diarrhea (bloody), feeling need to pass stool, fever",Cloudy,None,Shigellosis
"feeling need to pass stool, diarrhea (bloody), stomach pain",Brown,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool",Cloudy,Fecal,Shigellosis
"fever, diarrhea (bloody), feeling need to pass stool",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, diarrhea (bloody), fever, stomach pain",Cloudy,Foul,Shigellosis
"stomach pain, diarrhea (bloody)",Cloudy,Fecal,Shigellosis
"stomach pain, feeling need to pass stool, fever",Cloudy,Fecal,Shigellosis
"fever, stomach pain, diarrhea (bloody)",Brown,Foul,Shigellosis
"fever, stomach pain, feeling need to pass stool, diarrhea (bloody)",Cloudy,Fecal,Shigellosis
"diarrhea (bloody), fever",Cloudy,Fecal,Shigellosis
"stomach pain, fever, diarrhea (bloody), feeling need to pass stool",Cloudy,Foul,Shigellosis
"feeling need to pass stool, fever",Brown,None,Shigellosis
"feeling need to pass stool, stomach pain, diarrhea (bloody)",Cloudy,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever",Brown,Foul,Shigellosis
"fever, feeling need to pass stool, diarrhea (bloody), stomach pain",Brown,None,Shigellosis
"diarrhea (bloody), stomach pain, fever",Cloudy,None,Shigellosis
"stomach pain, diarrhea (bloody)",Brown,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever, stomach pain",Brown,Foul,Shigellosis
"stomach pain, feeling need to pass stool, diarrhea (bloody)",Brown,Foul,Shigellosis
"diarrhea (bloody), feeling need to pass stool, stomach pain, fever",Cloudy,Foul,Shigellosis
"stomach pain, diarrhea (bloody), fever, feeling need to pass stool",Brown,Fecal,Shigellosis
"diarrhea (bloody), feeling need to pass stool",Brown,None,Shigellosis
"feeling need to pass stool, stomach pain",Cloudy,Foul,Shigellosis
"stomach pain, feeling need to pass stool",Brown,None,Shigellosis
"diarrhea (bloody), feeling need to pass stool",Brown,Foul,Shigellosis
"fever, stomach pain",Brown,Foul,Shigellosis
"fever, stomach pain, feeling need to pass stool, diarrhea (bloody)",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, diarrhea (bloody)",Cloudy,Foul,Shigellosis
"diarrhea (bloody), stomach pain, feeling need to pass stool, fever",Cloudy,Foul,Shigellosis
"fever, diarrhea (bloody), stomach pain, feeling need to pass stool",Brown,Fecal,Shigellosis
"stomach pain, fever, diarrhea (bloody)",Brown,Fecal,Shigellosis
"diarrhea (bloody), feeling need to pass stool, fever",Brown,None,Shigellosis
"feeling need to pass stool, fever",Brown,None,Shigellosis
"fever, diarrhea (bloody)",Brown,None,Shigellosis
"diarrhea (bloody), stomach pain",Brown,Foul,Shigellosis
"feeling need to pass stool, stomach pain",Cloudy,Foul,Shigellosis
"stomach pain, diarrhea (bloody), fever, feeling need to pass stool",Cloudy,Fecal,Shigellosis
"feeling need to pass stool, fever, diarrhea (bloody)",Brown,Foul,Shigellosis
"diarrhea (bloody), fever",Brown,None,Shigellosis
"stomach pain, diarrhea (bloody), fever",Brown,None,Shigellosis
"diarrhea (bloody), feeling need to pass stool, stomach pain",Brown,Foul,Shigellosis
"stomach pain, fever, diarrhea (bloody)",Cloudy,Fecal,Shigellosis
"stomach pain, diarrhea (bloody)",Brown,Foul,Shigellosis
"diarrhea (bloody), fever, stomach pain",Cloudy,None,Shigellosis
"feeling need to pass stool, stomach pain, fever, diarrhea (bloody)",Cloudy,None,Shigellosis
"stomach pain, feeling need to pass stool",Cloudy,None,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool",Cloudy,Fecal,Shigellosis
"stomach pain, feeling need to pass stool, fever",Brown,None,Shigellosis
"feeling need to pass stool, diarrhea (bloody), fever",Brown,Foul,Shigellosis
"fever, diarrhea (bloody), feeling need to pass stool",Cloudy,None,Shigellosis
"diarrhea (bloody), fever",Cloudy,None,Shigellosis
"feeling need to pass stool, diarrhea (bloody), fever",Cloudy,Foul,Shigellosis
"diarrhea (bloody), fever, feeling need to pass stool, stomach pain",Cloudy,None,Shigellosis
"feeling need to pass stool, diarrhea (bloody)",Brown,None,Shigellosis
"fever, diarrhea (bloody)",Brown,None,Shigellosis
